,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,task,revise_score,full_credit,half_credit,time,diversity_bin,task_numeric
0,0.5825123152709359,0.2669296515450362,1.1003680229187012,78,2.8580060422960725,0.7253694581280788,0.0128205128205128,3,0,1,Professor,0.0,0,0,1169,1,0
1,0.4461821527138914,0.2156318190835151,0.7995009422302246,71,2.8362573099415203,0.6816927322907084,0.0140845070422535,2,0,1,Professor,0.0,0,0,731,0,0
2,0.3846153846153846,0.2029384756657483,0.8058274984359741,33,3.695652173913044,0.5384615384615384,0.0303030303030303,3,0,0,Professor,0.0,0,0,684,1,0
3,0.4870748299319727,0.2083333333333333,0.7330350875854492,84,2.6227106227106227,0.6040816326530613,0.0119047619047619,4,0,0,Professor,0.0,0,0,1699,1,0
4,0.5227272727272727,0.2079395085066162,0.8141951560974121,46,2.911392405063291,0.6636363636363637,0.0217391304347826,1,0,1,Professor,0.0,0,0,869,0,0
5,0.6101083032490975,0.2909052720016803,1.2046606540679932,69,3.00711743772242,0.7545126353790613,0.0144927536231884,3,0,1,Professor,0.0,0,0,1295,1,0
6,0.6300056401579244,0.2840890882871335,1.3685013055801392,79,3.275659824046921,0.8116187253243091,0.0126582278481012,4,1,0,Professor,2.0,1,1,856,1,0
7,0.4970453053184504,0.2707555555555556,1.0131759643554688,75,2.8141263940520447,0.6152330925804333,0.0133333333333333,3,0,1,Professor,0.0,0,0,752,1,0
8,0.4663865546218487,0.1836419753086419,0.7186827063560486,72,2.7577639751552794,0.6207983193277311,0.0138888888888888,2,0,1,Professor,0.5,0,0,1452,0,0
9,0.6054564533053515,0.2834622248661511,1.1119641065597534,82,2.8493827160493828,0.7953830010493179,0.0121951219512195,2,1,1,Professor,2.0,1,1,742,0,0
10,0.647976011994003,0.3695290858725761,1.1889193058013916,95,2.885180240320427,0.8110944527736131,0.0105263157894736,2,0,1,Professor,0.0,0,0,1026,0,0
11,0.6510067114093959,0.3378684807256236,1.1489202976226809,21,3.3448275862068964,0.7046979865771812,0.0476190476190476,2,0,0,Professor,0.0,0,0,400,0,0
12,0.6737044145873321,0.2894444444444444,1.397891402244568,60,3.295774647887324,0.7207293666026872,0.0166666666666666,3,0,1,PartyVenue,0.0,0,0,583,1,1
13,0.746677091477717,0.3936595875654047,2.488729953765869,57,7.764227642276423,0.8287724784988272,0.0175438596491228,4,0,0,Professor,0.0,0,0,720,1,0
14,0.4644284572342126,0.1815938452605603,0.8197072744369507,83,2.7535545023696684,0.6650679456434853,0.0120481927710843,4,0,1,candidate,0.0,0,0,864,1,2
15,0.5007299270072992,0.2264462809917355,0.9583156704902648,55,2.9316239316239314,0.6467153284671533,0.0181818181818181,2,1,1,PartyVenue,2.0,1,1,1066,0,1
16,0.5577889447236181,0.2366230677764565,1.359559178352356,29,3.827586206896552,0.6432160804020101,0.0344827586206896,2,0,1,Professor,0.0,0,0,441,0,0
17,0.490566037735849,0.1833910034602076,1.1978880167007446,68,3.495798319327731,0.6143867924528302,0.0147058823529411,4,1,1,PartyVenue,2.0,1,1,1111,1,1
18,0.4553706505295007,0.235315058739765,0.9358423948287964,53,2.98019801980198,0.540090771558245,0.0188679245283018,3,0,0,candidate,0.25,0,0,957,1,2
19,0.5349753694581281,0.2398393194706994,1.0515985488891602,92,2.8207792207792206,0.5822660098522168,0.0108695652173913,3,1,1,PartyVenue,0.75,0,0,1300,1,1
20,0.550784475639967,0.3051146384479717,0.9543079137802124,63,2.7448559670781894,0.5664739884393064,0.0158730158730158,2,1,0,Professor,2.0,1,1,959,0,0
21,0.5924170616113744,0.308254200146092,1.260004639625549,74,3.154574132492113,0.7239336492890995,0.0135135135135135,3,0,0,candidate,0.0,0,0,925,1,2
22,0.4948320413436692,0.1911111111111111,1.175387263298035,90,3.178423236514522,0.5891472868217055,0.0111111111111111,2,0,0,PartyVenue,0.0,0,0,1203,0,1
23,0.5064935064935064,0.2132963988919667,0.3046360909938812,19,3.5454545454545454,0.3896103896103896,0.0526315789473684,3,0,0,Professor,0.0,0,0,498,1,0
24,0.4647887323943662,0.2465277777777778,0.501046895980835,24,3.142857142857143,0.7394366197183099,0.0416666666666666,2,0,1,candidate,0.0,0,0,393,0,2
25,0.9165085388994308,0.346482577251808,2.3862671852111816,39,6.2727272727272725,0.9582542694497154,0.0256410256410256,1,1,1,PartyVenue,1.5,0,1,657,0,1
26,0.458955223880597,0.25125,0.6485867500305176,80,2.5187713310580206,0.6194029850746269,0.0125,3,1,1,Professor,2.0,1,1,1566,1,0
27,0.476303317535545,0.2340976331360946,0.942485511302948,104,2.710112359550562,0.5608214849921012,0.0096153846153846,3,0,1,PartyVenue,0.0,0,0,1484,1,1
28,0.4285714285714285,0.2052469135802469,0.5626347064971924,36,3.081081081081081,0.5451127819548872,0.0277777777777777,3,0,0,Professor,0.0,0,0,780,1,0
29,0.4835566382460414,0.2206396130072561,1.1655888557434082,61,3.4521739130434783,0.610231425091352,0.0163934426229508,4,0,1,PartyVenue,0.0,0,0,1092,1,1
30,0.8728323699421965,0.2768,2.114919424057007,25,5.592592592592593,0.884393063583815,0.04,2,0,1,PartyVenue,0.0,0,0,1398,0,1
31,0.6585648148148148,0.2840236686390532,1.6620467901229858,78,5.057777777777778,0.7771990740740741,0.0128205128205128,2,0,1,PartyVenue,0.0,0,0,886,0,1
32,0.5363057324840764,0.2255099109451307,0.916749119758606,59,2.825503355704698,0.6547770700636942,0.0169491525423728,3,1,0,PartyVenue,1.0,0,1,1108,1,1
33,0.6993166287015945,0.3247041420118343,1.081859111785889,52,2.855813953488372,0.8451025056947609,0.0192307692307692,3,0,0,Professor,0.5,0,0,667,1,0
34,0.6363636363636364,0.2743764172335601,0.5718327164649963,21,2.851851851851852,0.7768595041322314,0.0476190476190476,2,0,1,PartyVenue,0.0,0,0,304,0,1
35,0.5632329635499208,0.2755699187701982,1.0721224546432495,107,2.780907668231612,0.6992076069730586,0.0093457943925233,3,0,0,Professor,0.0,0,0,1267,1,0
36,0.5211267605633803,0.2013232514177693,0.9373661279678344,46,3.041095890410959,0.676056338028169,0.0217391304347826,3,0,1,PartyVenue,0.0,0,0,595,1,1
37,0.72,0.1953125,0.9649629592895508,16,4.0,0.76,0.0625,2,0,1,Professor,0.0,0,0,528,0,0
38,0.4784810126582278,0.2349791790600832,1.4946093559265137,41,4.0212765957446805,0.5924050632911393,0.024390243902439,3,0,0,candidate,0.0,0,0,1313,1,2
39,0.4292343387470997,0.2330989724175229,0.902982234954834,43,3.135593220338983,0.5034802784222738,0.0232558139534883,3,0,0,PartyVenue,0.0,0,0,526,1,1
40,0.6052631578947368,0.3140495867768595,0.9957935810089112,22,3.1724137931034484,0.7236842105263158,0.0454545454545454,3,1,0,Professor,1.0,0,1,781,1,0
41,0.5122950819672131,0.23828125,1.2094498872756958,64,3.1847133757961785,0.6260245901639344,0.015625,2,0,0,candidate,0.0,0,0,1049,0,2
42,0.6854971919392138,0.3354016620498615,1.9335087537765503,95,4.5010845986984815,0.8014535844070036,0.0105263157894736,2,1,1,PartyVenue,1.75,0,1,1193,0,1
43,0.516260162601626,0.2325141776937618,0.7293044328689575,92,2.5463659147869677,0.5985772357723578,0.0108695652173913,3,1,1,Professor,1.0,0,1,1875,1,0
44,0.4941520467836257,0.19,1.2129911184310913,60,3.414141414141414,0.6666666666666666,0.0166666666666666,2,0,0,candidate,0.0,0,0,827,0,2
45,0.597911227154047,0.3126530612244897,0.892903208732605,35,2.8987341772151898,0.7180156657963447,0.0285714285714285,2,0,1,PartyVenue,0.0,0,0,529,0,1
46,0.5664395229982965,0.2547743055555556,0.948752760887146,96,2.676056338028169,0.7363713798977853,0.0104166666666666,2,0,1,Professor,0.0,0,0,737,0,0
47,0.5270935960591133,0.2112382934443288,1.0650261640548706,31,3.4516129032258065,0.6945812807881774,0.032258064516129,2,0,1,PartyVenue,0.0,0,0,659,0,1
48,0.4778730703259005,0.2546073892916412,0.824198842048645,107,2.574861367837338,0.6404802744425386,0.0093457943925233,3,1,0,Professor,1.0,0,1,1439,1,0
49,0.4893617021276595,0.2039930555555555,0.7108156681060791,48,2.8395061728395063,0.5765957446808511,0.0208333333333333,3,0,1,candidate,0.0,0,0,1140,1,2
50,0.550561797752809,0.1977777777777777,1.794917106628418,30,5.157894736842105,0.651685393258427,0.0333333333333333,2,0,1,PartyVenue,0.5,0,0,413,0,1
51,0.5343065693430656,0.2438590245639017,1.337684988975525,106,3.706329113924051,0.6638686131386862,0.0094339622641509,4,0,0,candidate,0.0,0,0,1306,1,2
52,0.5415821501014199,0.2932778108268887,0.8611717820167542,41,2.810526315789473,0.6612576064908722,0.024390243902439,3,1,1,PartyVenue,1.5,0,1,369,1,1
