mellon_id,initial,revise,session_id,task,ini_score,revise_score,score_change
169447,BAC,BAC,7347_apartment,apartment,1,0,-1
176980,BAC,BAC,7347_apartment,apartment,1,0,-1
188785,BAC,BAC,7348_apartment,apartment,1,0,-1
202871,BCA,BAC,7348_apartment,apartment,2,0,-2
166807,BCA,BAC,7348_apartment,apartment,2,0,-2
194861,BAC,BAC,7348_apartment,apartment,1,0,-1
195013,CBA,CBA,7349_candidate,candidate,0,0,0
171885,ACB,CBA,7349_candidate,candidate,0,0,0
188181,CAB,CBA,7349_candidate,candidate,0,0,0
199410,BAC,CBA,7349_candidate,candidate,1,0,-1
175263,BAC,BAC,7350_apartment,apartment,1,0,-1
171228,ACB,BAC,7350_apartment,apartment,0,0,0
179780,BAC,BAC,7350_apartment,apartment,1,0,-1
190865,BCA,BAC,7350_apartment,apartment,2,0,-2
190185,BCA,BCA,7350_candidate,candidate,2,0,-2
174112,BCA,BCA,7350_candidate,candidate,2,0,-2
180552,BCA,BCA,7350_candidate,candidate,2,0,-2
192035,BCA,BCA,7350_candidate,candidate,2,0,-2
179706,ABC,ABC,7351_apartment,apartment,0,1,1
162850,ABC,ABC,7351_apartment,apartment,0,1,1
162936,BAC,ABC,7351_apartment,apartment,1,1,0
182908,BCA,ABC,7351_apartment,apartment,2,1,-1
198410,BAC,BAC,7353_apartment,apartment,1,0,-1
199817,BAC,BAC,7353_apartment,apartment,1,0,-1
177337,BAC,BAC,7353_apartment,apartment,1,0,-1
170880,BAC,BAC,7353_apartment,apartment,1,0,-1
181200,BCA,ACB,7354_apartment,apartment,2,2,0
176874,ABC,ACB,7354_apartment,apartment,0,2,2
192484,ACB,ACB,7354_apartment,apartment,0,2,2
166771,ABC,ACB,7354_apartment,apartment,0,2,2
173304,BAC,ABC,7355_apartment,apartment,1,1,0
178047,BAC,ABC,7355_apartment,apartment,1,1,0
169503,BAC,ACB,7355_apartment,apartment,1,2,1
191733,ACB,ABC,7355_apartment,apartment,0,1,1
175100,BAC,BAC,7357_apartment,apartment,1,0,-1
181959,ACB,BAC,7357_apartment,apartment,0,0,0
164048,BAC,BAC,7357_apartment,apartment,1,0,-1
190355,ABC,BAC,7357_apartment,apartment,0,0,0
170398,BCA,BAC,7358_apartment,apartment,2,0,-2
162848,BCA,BAC,7358_apartment,apartment,2,0,-2
197092,BAC,BAC,7358_apartment,apartment,1,0,-1
198355,BAC,BAC,7358_apartment,apartment,1,0,-1
199520,ABC,BAC,7359_apartment,apartment,0,0,0
163890,BAC,BAC,7359_apartment,apartment,1,0,-1
ucinetid,BCA,BAC,7359_apartment,apartment,2,0,-2
181104,BAC,BAC,7359_apartment,apartment,1,0,-1
168862,BAC,ACB,7360_apartment,apartment,1,2,1
197998,ABC,ACB,7360_apartment,apartment,0,2,2
168702,BAC,ACB,7360_apartment,apartment,1,2,1
200618,BAC,ACB,7360_apartment,apartment,1,2,1
198964,ABC,BAC,7361_apartment,apartment,0,0,0
174411,BCA,BAC,7361_apartment,apartment,2,0,-2
165258,BCA,BAC,7361_apartment,apartment,2,0,-2
186628,BAC,BAC,7361_apartment,apartment,1,0,-1
194848,BAC,CAB,7362_apartment,apartment,1,0,-1
165876,BCA,CAB,7362_apartment,apartment,2,0,-2
176070,ABC,CAB,7362_apartment,apartment,0,0,0
173234,BAC,CAB,7362_apartment,apartment,1,0,-1
195948,BAC,BAC,7363_apartment,apartment,1,0,-1
201536,BAC,BAC,7363_apartment,apartment,1,0,-1
193611,BAC,BAC,7363_apartment,apartment,1,0,-1
