,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,no_messages,diversity,diversity_bin,time,high_performance,female_majority,revise_score,full_credit,half_credit,task,task_numeric
0,0.5614489003880984,0.2669296515450362,1.083094596862793,8,2.6303030303030304,0.7253694581280788,0.125,78,3,1,1169,0,1,0.0,0,0,Professor,0
1,0.4074803149606299,0.21563181908351517,0.7680937051773071,8,2.4352941176470586,0.6816927322907084,0.125,71,2,0,731,0,1,0.0,0,0,Professor,0
2,0.2765957446808511,0.20293847566574838,0.6554818153381348,3,2.3636363636363638,0.5384615384615384,0.3333333333333333,33,3,1,684,0,0,0.0,0,0,Professor,0
3,0.455988455988456,0.20833333333333334,0.7114372849464417,6,2.323529411764706,0.6040816326530613,0.16666666666666666,84,4,1,1699,0,0,0.0,0,0,Professor,0
4,0.467005076142132,0.20793950850661624,0.7558759450912476,4,2.358974358974359,0.6636363636363637,0.25,46,1,0,869,0,1,0.0,0,0,Professor,0
5,0.5896656534954408,0.2909052720016803,1.1852610111236572,9,2.7714285714285714,0.7545126353790613,0.1111111111111111,69,3,1,1295,0,1,0.0,0,0,Professor,0
6,0.6127508854781583,0.2840890882871335,1.3524370193481445,11,3.052941176470588,0.8116187253243091,0.09090909090909091,79,4,1,856,1,0,2.0,1,1,Professor,0
7,0.47099447513812154,0.2707555555555556,0.9923561811447144,6,2.544776119402985,0.6152330925804333,0.16666666666666666,75,3,1,752,0,1,0.0,0,0,Professor,0
8,0.42272727272727273,0.18364197530864199,0.6851852536201477,7,2.325,0.6207983193277311,0.14285714285714285,72,2,0,1452,0,1,0.5,0,0,Professor,0
9,0.6228070175438597,0.2903520804755373,1.1399956941604614,8,2.704761904761905,0.8162729658792651,0.125,81,2,0,742,1,1,2.0,1,1,Professor,0
10,0.6376543209876543,0.36952908587257616,1.1803241968154907,9,2.7620320855614975,0.8110944527736131,0.1111111111111111,95,2,0,1026,0,1,0.0,0,0,Professor,0
11,0.59375,0.3378684807256236,1.0346012115478516,4,2.7142857142857144,0.7046979865771812,0.25,21,2,0,400,0,0,0.0,0,0,Professor,0
12,0.6537678207739308,0.28944444444444445,1.3744901418685913,8,3.0283018867924527,0.7207293666026872,0.125,60,3,1,583,0,1,0.0,0,0,PartyVenue,1
13,0.7381342062193126,0.4075255102040816,2.4488680362701416,22,7.274193548387097,0.8356807511737089,0.045454545454545456,56,4,1,720,0,0,0.0,0,0,Professor,0
14,0.4263698630136986,0.18159384526056033,0.7933750152587891,5,2.3714285714285714,0.6650679456434853,0.2,83,4,1,864,0,1,0.0,0,0,candidate,2
15,0.45714285714285713,0.22644628099173553,0.9169400334358215,5,2.4827586206896552,0.6467153284671533,0.2,55,2,0,1066,1,1,2.0,1,1,PartyVenue,1
16,0.4823529411764706,0.23662306777645659,1.252763032913208,6,2.9285714285714284,0.6432160804020101,0.16666666666666666,29,2,0,441,0,1,0.0,0,0,Professor,0
17,0.4461538461538462,0.18339100346020762,1.1590996980667114,11,2.9491525423728815,0.6143867924528302,0.09090909090909091,68,4,1,1111,1,1,2.0,1,1,PartyVenue,1
18,0.40789473684210525,0.23531505873976505,0.8890992403030396,6,2.48,0.540090771558245,0.16666666666666666,53,3,1,957,0,0,0.25,0,0,candidate,2
19,0.5128998968008256,0.23983931947069942,1.0362329483032227,7,2.5885416666666665,0.5822660098522168,0.14285714285714285,92,3,1,1300,1,1,0.75,0,0,PartyVenue,1
20,0.5261324041811847,0.30511463844797176,0.9314290285110474,5,2.4958677685950414,0.5664739884393064,0.2,63,2,0,959,1,0,2.0,1,1,Professor,0
21,0.573729863692689,0.30825420014609206,1.2426081895828247,13,2.930379746835443,0.7239336492890995,0.07692307692307693,74,3,1,925,0,0,0.0,0,0,candidate,2
22,0.46364883401920437,0.19111111111111112,1.1532732248306274,12,2.816666666666667,0.5891472868217055,0.08333333333333333,90,2,0,1203,0,0,0.0,0,0,PartyVenue,1
23,0.3448275862068966,0.21329639889196675,0.0,2,2.0,0.38961038961038963,0.5,19,3,1,498,0,0,0.0,0,0,Professor,0
24,0.3559322033898305,0.2465277777777778,0.3250829875469208,3,2.1,0.7394366197183099,0.3333333333333333,24,2,0,393,0,1,0.0,0,0,candidate,2
25,0.9098360655737705,0.34648257725180803,2.347437858581543,15,5.842105263157895,0.9582542694497154,0.06666666666666667,39,1,0,657,1,1,1.5,0,1,PartyVenue,1
26,0.4306282722513089,0.25125,0.6279364824295044,5,2.2534246575342465,0.6194029850746269,0.2,80,3,1,1566,1,1,2.0,1,1,Professor,0
27,0.457166392092257,0.23857102460175322,0.9238733649253845,6,2.4776785714285716,0.5610430659818254,0.16666666666666666,103,3,1,1484,0,1,0.0,0,0,PartyVenue,1
28,0.3391304347826087,0.2052469135802469,0.4505612254142761,3,2.1666666666666665,0.5451127819548872,0.3333333333333333,36,3,1,780,0,0,0.0,0,0,Professor,0
29,0.4421052631578947,0.22063961300725612,1.1254574060440063,11,2.9473684210526314,0.610231425091352,0.09090909090909091,61,4,1,1092,0,1,0.0,0,0,PartyVenue,1
30,0.8513513513513513,0.2768,2.031759262084961,10,4.846153846153846,0.884393063583815,0.1,25,2,0,1398,0,1,0.0,0,0,PartyVenue,1
31,0.6460606060606061,0.2912801484230056,1.6381586790084839,25,4.716814159292035,0.7776491024898669,0.04,77,2,0,886,0,1,0.0,0,0,PartyVenue,1
32,0.4986225895316804,0.2255099109451307,0.8823989033699036,6,2.445945945945946,0.6547770700636942,0.16666666666666666,59,3,1,1108,1,0,1.0,0,1,PartyVenue,1
