,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,revise_score,full_credit,half_credit
0,0.5825123152709359,0.2669296515450362,1.1003680229187012,78,2.8580060422960725,0.7253694581280788,0.01282051282051282,3,0,1,0.0,0,0
1,0.44618215271389144,0.21563181908351517,0.7995009422302246,71,2.8362573099415203,0.6816927322907084,0.014084507042253521,2,0,1,0.0,0,0
2,0.38461538461538464,0.20293847566574838,0.8058274984359741,33,3.6956521739130435,0.5384615384615384,0.030303030303030304,3,0,0,0.0,0,0
3,0.48707482993197276,0.20833333333333334,0.7330350875854492,84,2.6227106227106227,0.6040816326530613,0.011904761904761904,4,0,0,0.0,0,0
4,0.5227272727272727,0.20793950850661624,0.8141951560974121,46,2.911392405063291,0.6636363636363637,0.021739130434782608,1,0,1,0.0,0,0
5,0.6101083032490975,0.2909052720016803,1.2046606540679932,69,3.00711743772242,0.7545126353790613,0.014492753623188406,3,0,1,0.0,0,0
6,0.6300056401579244,0.2840890882871335,1.3685013055801392,79,3.275659824046921,0.8116187253243091,0.012658227848101266,4,1,0,2.0,1,1
7,0.4970453053184504,0.2707555555555556,1.0131759643554688,75,2.8141263940520447,0.6152330925804333,0.013333333333333334,3,0,1,0.0,0,0
8,0.46638655462184875,0.18364197530864199,0.7186827063560486,72,2.7577639751552794,0.6207983193277311,0.013888888888888888,2,0,1,0.5,0,0
9,0.6054564533053515,0.2834622248661511,1.1119641065597534,82,2.8493827160493828,0.7953830010493179,0.012195121951219513,2,1,1,2.0,1,1
10,0.647976011994003,0.36952908587257616,1.1889193058013916,95,2.885180240320427,0.8110944527736131,0.010526315789473684,2,0,1,0.0,0,0
11,0.6510067114093959,0.3378684807256236,1.1489202976226807,21,3.3448275862068964,0.7046979865771812,0.047619047619047616,2,0,0,0.0,0,0
12,0.6737044145873321,0.28944444444444445,1.3978914022445679,60,3.295774647887324,0.7207293666026872,0.016666666666666666,3,0,1,0.0,0,0
13,0.746677091477717,0.39365958756540476,2.488729953765869,57,7.764227642276423,0.8287724784988272,0.017543859649122806,4,0,0,0.0,0,0
14,0.4644284572342126,0.18159384526056033,0.8197072744369507,83,2.7535545023696684,0.6650679456434853,0.012048192771084338,4,0,1,0.0,0,0
15,0.5007299270072992,0.22644628099173553,0.9583156704902649,55,2.9316239316239314,0.6467153284671533,0.01818181818181818,2,1,1,2.0,1,1
16,0.5577889447236181,0.23662306777645659,1.359559178352356,29,3.8275862068965516,0.6432160804020101,0.034482758620689655,2,0,1,0.0,0,0
17,0.49056603773584906,0.18339100346020762,1.1978880167007446,68,3.495798319327731,0.6143867924528302,0.014705882352941176,4,1,1,2.0,1,1
18,0.45537065052950076,0.23531505873976505,0.9358423948287964,53,2.98019801980198,0.540090771558245,0.018867924528301886,3,0,0,0.25,0,0
19,0.5349753694581281,0.23983931947069942,1.0515985488891602,92,2.8207792207792206,0.5822660098522168,0.010869565217391304,3,1,1,0.75,0,0
20,0.550784475639967,0.30511463844797176,0.9543079137802124,63,2.7448559670781894,0.5664739884393064,0.015873015873015872,2,1,0,2.0,1,1
21,0.5924170616113744,0.30825420014609206,1.2600046396255493,74,3.1545741324921135,0.7239336492890995,0.013513513513513514,3,0,0,0.0,0,0
22,0.49483204134366926,0.19111111111111112,1.1753872632980347,90,3.1784232365145226,0.5891472868217055,0.011111111111111112,2,0,0,0.0,0,0
23,0.5064935064935064,0.21329639889196675,0.3046360909938812,19,3.5454545454545454,0.38961038961038963,0.05263157894736842,3,0,0,0.0,0,0
24,0.4647887323943662,0.2465277777777778,0.501046895980835,24,3.142857142857143,0.7394366197183099,0.041666666666666664,2,0,1,0.0,0,0
25,0.9165085388994307,0.34648257725180803,2.3862671852111816,39,6.2727272727272725,0.9582542694497154,0.02564102564102564,1,1,1,1.5,0,1
26,0.458955223880597,0.25125,0.6485867500305176,80,2.5187713310580206,0.6194029850746269,0.0125,3,1,1,2.0,1,1
27,0.476303317535545,0.23409763313609466,0.942485511302948,104,2.710112359550562,0.5608214849921012,0.009615384615384616,3,0,1,0.0,0,0
28,0.42857142857142855,0.2052469135802469,0.5626347064971924,36,3.081081081081081,0.5451127819548872,0.027777777777777776,3,0,0,0.0,0,0
29,0.4835566382460414,0.22063961300725612,1.1655888557434082,61,3.4521739130434783,0.610231425091352,0.01639344262295082,4,0,1,0.0,0,0
30,0.8728323699421965,0.2768,2.114919424057007,25,5.592592592592593,0.884393063583815,0.04,2,0,1,0.0,0,0
31,0.6585648148148148,0.28402366863905326,1.6620467901229858,78,5.057777777777778,0.7771990740740741,0.01282051282051282,2,0,1,0.0,0,0
32,0.5363057324840764,0.2255099109451307,0.916749119758606,59,2.825503355704698,0.6547770700636942,0.01694915254237288,3,1,0,1.0,0,1
33,0.6993166287015945,0.32470414201183434,1.0818591117858887,52,2.855813953488372,0.8451025056947609,0.019230769230769232,3,0,0,0.5,0,0
34,0.6363636363636364,0.2743764172335601,0.5718327164649963,21,2.8518518518518516,0.7768595041322314,0.047619047619047616,2,0,1,0.0,0,0
35,0.5632329635499208,0.27556991877019826,1.0721224546432495,107,2.780907668231612,0.6992076069730586,0.009345794392523364,3,0,0,0.0,0,0
36,0.5211267605633803,0.20132325141776938,0.9373661279678345,46,3.041095890410959,0.676056338028169,0.021739130434782608,3,0,1,0.0,0,0
37,0.72,0.1953125,0.9649629592895508,16,4.0,0.76,0.0625,2,0,1,0.0,0,0
