,task_x,team_id,mellon_id,Primary code ,revise_score,high_performance
102,apartment,181200_176874_192484_166771,176874,SSI,2.0,1
103,apartment,181200_176874_192484_166771,176874,SSI,2.0,1
104,apartment,181200_176874_192484_166771,176874,CM,2.0,1
105,apartment,181200_176874_192484_166771,176874,SN,2.0,1
106,apartment,181200_176874_192484_166771,181200,SESU,2.0,1
107,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
108,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
109,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
110,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
111,apartment,181200_176874_192484_166771,181200,SESU,2.0,1
112,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
113,apartment,181200_176874_192484_166771,181200,CRF,2.0,1
114,apartment,181200_176874_192484_166771,181200,CE,2.0,1
115,apartment,181200_176874_192484_166771,181200,CE,2.0,1
116,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
117,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
118,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
119,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
120,apartment,181200_176874_192484_166771,181200,SN,2.0,1
121,apartment,181200_176874_192484_166771,181200,CE,2.0,1
122,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
123,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
124,apartment,181200_176874_192484_166771,181200,SSI,2.0,1
125,apartment,181200_176874_192484_166771,181200,SN,2.0,1
126,apartment,181200_176874_192484_166771,181200,SMC,2.0,1
127,apartment,181200_176874_192484_166771,166771,SESU,2.0,1
128,apartment,181200_176874_192484_166771,166771,SSI,2.0,1
129,apartment,181200_176874_192484_166771,166771,CRF,2.0,1
130,apartment,181200_176874_192484_166771,166771,SSI,2.0,1
131,apartment,181200_176874_192484_166771,166771,SSI,2.0,1
132,apartment,181200_176874_192484_166771,166771,SSI,2.0,1
133,apartment,181200_176874_192484_166771,166771,CM,2.0,1
134,apartment,181200_176874_192484_166771,166771,SSI,2.0,1
135,apartment,181200_176874_192484_166771,166771,SSI,2.0,1
136,apartment,181200_176874_192484_166771,166771,SSI,2.0,1
137,apartment,181200_176874_192484_166771,166771,SSI,2.0,1
138,apartment,181200_176874_192484_166771,166771,SN,2.0,1
139,apartment,181200_176874_192484_166771,192484,SSI,2.0,1
140,apartment,181200_176874_192484_166771,192484,SSI,2.0,1
141,apartment,181200_176874_192484_166771,192484,SESU,2.0,1
142,apartment,181200_176874_192484_166771,192484,CE,2.0,1
143,apartment,181200_176874_192484_166771,192484,CE,2.0,1
144,apartment,181200_176874_192484_166771,192484,SSI,2.0,1
145,apartment,181200_176874_192484_166771,192484,SSI,2.0,1
146,apartment,181200_176874_192484_166771,192484,SSI,2.0,1
147,apartment,181200_176874_192484_166771,192484,SN,2.0,1
148,apartment,181207_166151_169077_170115,170115,SMC,1.0,1
149,apartment,181207_166151_169077_170115,170115,SESU,1.0,1
150,apartment,181207_166151_169077_170115,170115,SSI,1.0,1
151,apartment,181207_166151_169077_170115,170115,CM,1.0,1
152,apartment,181207_166151_169077_170115,170115,SSI,1.0,1
153,apartment,181207_166151_169077_170115,170115,SESU,1.0,1
154,apartment,181207_166151_169077_170115,170115,CE,1.0,1
155,apartment,181207_166151_169077_170115,170115,SSI,1.0,1
156,apartment,181207_166151_169077_170115,170115,SSI,1.0,1
157,apartment,181207_166151_169077_170115,170115,SSI,1.0,1
158,apartment,181207_166151_169077_170115,170115,SSI,1.0,1
159,apartment,181207_166151_169077_170115,170115,SSI,1.0,1
160,apartment,181207_166151_169077_170115,170115,SSI,1.0,1
161,apartment,181207_166151_169077_170115,170115,SESU,1.0,1
162,apartment,181207_166151_169077_170115,170115,SN,1.0,1
163,apartment,181207_166151_169077_170115,170115,SESU,1.0,1
164,apartment,181207_166151_169077_170115,181207,SMC,1.0,1
165,apartment,181207_166151_169077_170115,181207,SSI,1.0,1
166,apartment,181207_166151_169077_170115,181207,CRF,1.0,1
167,apartment,181207_166151_169077_170115,181207,SSI,1.0,1
168,apartment,181207_166151_169077_170115,181207,CE,1.0,1
169,apartment,181207_166151_169077_170115,181207,CE,1.0,1
170,apartment,181207_166151_169077_170115,181207,CRF,1.0,1
171,apartment,181207_166151_169077_170115,181207,CRF,1.0,1
172,apartment,181207_166151_169077_170115,181207,SSI,1.0,1
173,apartment,181207_166151_169077_170115,181207,CE,1.0,1
174,apartment,181207_166151_169077_170115,181207,SSI,1.0,1
175,apartment,181207_166151_169077_170115,181207,SSI,1.0,1
176,apartment,181207_166151_169077_170115,181207,SSI,1.0,1
177,apartment,181207_166151_169077_170115,181207,SN,1.0,1
178,apartment,181207_166151_169077_170115,181207,SN,1.0,1
