,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,full_credit,half_credit,revise_score
0,0.2105911330049261,0.2669296515450362,0.8481518030166626,78,4.329113924050633,0.40332512315270935,0.01282051282051282,3,0,1,0,0,0.0
1,0.1389144434222631,0.21563181908351517,0.86054927110672,71,6.04,0.18951241950321987,0.014084507042253521,2,0,1,0,0,0.0
2,0.2579185520361991,0.20293847566574838,0.34883207082748413,33,6.333333333333333,0.19909502262443438,0.030303030303030304,3,0,0,0,0,0.0
3,0.15918367346938775,0.20833333333333334,0.8814442753791809,84,5.2,0.04897959183673469,0.011904761904761904,4,0,0,0,0,0.0
4,0.21363636363636362,0.20793950850661624,0.2237180769443512,46,5.529411764705882,0.0,0.021739130434782608,1,0,1,0,0,0.0
5,0.31263537906137184,0.2909052720016803,1.4658215045928955,69,4.977011494252873,0.4527075812274368,0.014492753623188406,3,0,1,0,0,0.0
6,0.34235758601240834,0.2840890882871335,1.189517617225647,79,4.244755244755245,0.6311336717428088,0.012658227848101266,4,1,0,1,1,2.0
7,0.20026263952724885,0.2707555555555556,0.9412804245948792,75,4.6923076923076925,0.37820091923834537,0.013333333333333334,3,0,1,0,0,0.0
8,0.12815126050420167,0.18364197530864199,0.5783252716064453,72,7.176470588235294,0.21743697478991597,0.013888888888888888,2,0,1,0,0,0.5
9,0.23924449108079748,0.2834622248661511,1.3806979656219482,82,4.8,0.3683105981112277,0.012195121951219513,2,1,1,1,1,2.0
10,0.2911544227886057,0.36952908587257616,0.8267953991889954,95,3.749034749034749,0.5772113943028486,0.010526315789473684,2,0,1,0,0,0.0
11,0.35570469798657717,0.3378684807256236,0.7595473527908325,21,4.818181818181818,0.5906040268456376,0.047619047619047616,2,0,0,0,0,0.0
12,0.5009596928982726,0.28944444444444445,1.227415680885315,60,4.31404958677686,0.6477927063339731,0.016666666666666666,3,0,1,0,0,0.0
