,Unnamed: 0,Unnamed: 0.1,task_x,team_id,mellon_id,Primary code ,revise_score,high_performance,female_members,female_maj,gender,ethnicity
67,67,67,apartment,179706_162850_162936_182908,179706,SSI,1.0,1,2,0,F,Hispanic
68,68,68,apartment,179706_162850_162936_182908,179706,SSI,1.0,1,2,0,F,Hispanic
69,69,69,apartment,179706_162850_162936_182908,179706,SN,1.0,1,2,0,F,Hispanic
70,70,70,apartment,179706_162850_162936_182908,179706,SSI,1.0,1,2,0,F,Hispanic
71,71,71,apartment,179706_162850_162936_182908,179706,SSI,1.0,1,2,0,F,Hispanic
72,72,72,apartment,179706_162850_162936_182908,179706,SSI,1.0,1,2,0,F,Hispanic
73,73,73,apartment,179706_162850_162936_182908,179706,SSI,1.0,1,2,0,F,Hispanic
74,74,74,apartment,179706_162850_162936_182908,179706,SSI,1.0,1,2,0,F,Hispanic
75,75,75,apartment,179706_162850_162936_182908,179706,CM,1.0,1,2,0,F,Hispanic
76,76,76,apartment,179706_162850_162936_182908,179706,SN,1.0,1,2,0,F,Hispanic
77,77,77,apartment,179706_162850_162936_182908,179706,CM,1.0,1,2,0,F,Hispanic
78,78,78,apartment,179706_162850_162936_182908,179706,SESU,1.0,1,2,0,F,Hispanic
79,79,79,apartment,179706_162850_162936_182908,179706,SMC,1.0,1,2,0,F,Hispanic
80,80,80,apartment,179706_162850_162936_182908,179706,SESU,1.0,1,2,0,F,Hispanic
81,81,81,apartment,179706_162850_162936_182908,179706,SMC,1.0,1,2,0,F,Hispanic
82,82,82,apartment,181200_176874_192484_166771,176874,CE,2.0,1,3,1,F,Unknown
83,83,83,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
84,84,84,apartment,181200_176874_192484_166771,176874,SESU,2.0,1,3,1,F,Unknown
85,85,85,apartment,181200_176874_192484_166771,176874,SESU,2.0,1,3,1,F,Unknown
86,86,86,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
87,87,87,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
88,88,88,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
89,89,89,apartment,181200_176874_192484_166771,176874,SN,2.0,1,3,1,F,Unknown
90,90,90,apartment,181200_176874_192484_166771,176874,SESU,2.0,1,3,1,F,Unknown
91,91,91,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
92,92,92,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
93,93,93,apartment,181200_176874_192484_166771,176874,SESU,2.0,1,3,1,F,Unknown
94,94,94,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
95,95,95,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
96,96,96,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
97,97,97,apartment,181200_176874_192484_166771,176874,SMC,2.0,1,3,1,F,Unknown
98,98,98,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
99,99,99,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
100,100,100,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
101,101,101,apartment,181200_176874_192484_166771,176874,CE,2.0,1,3,1,F,Unknown
102,102,102,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
103,103,103,apartment,181200_176874_192484_166771,176874,SSI,2.0,1,3,1,F,Unknown
104,104,104,apartment,181200_176874_192484_166771,176874,CM,2.0,1,3,1,F,Unknown
105,105,105,apartment,181200_176874_192484_166771,176874,SN,2.0,1,3,1,F,Unknown
106,106,106,apartment,181200_176874_192484_166771,181200,SESU,2.0,1,3,1,F,Asian / Asian American
107,107,107,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
108,108,108,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
109,109,109,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
110,110,110,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
111,111,111,apartment,181200_176874_192484_166771,181200,SESU,2.0,1,3,1,F,Asian / Asian American
112,112,112,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
113,113,113,apartment,181200_176874_192484_166771,181200,CRF,2.0,1,3,1,F,Asian / Asian American
114,114,114,apartment,181200_176874_192484_166771,181200,CE,2.0,1,3,1,F,Asian / Asian American
115,115,115,apartment,181200_176874_192484_166771,181200,CE,2.0,1,3,1,F,Asian / Asian American
116,116,116,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
117,117,117,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
118,118,118,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
119,119,119,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
120,120,120,apartment,181200_176874_192484_166771,181200,SN,2.0,1,3,1,F,Asian / Asian American
121,121,121,apartment,181200_176874_192484_166771,181200,CE,2.0,1,3,1,F,Asian / Asian American
122,122,122,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
123,123,123,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
124,124,124,apartment,181200_176874_192484_166771,181200,SSI,2.0,1,3,1,F,Asian / Asian American
125,125,125,apartment,181200_176874_192484_166771,181200,SN,2.0,1,3,1,F,Asian / Asian American
126,126,126,apartment,181200_176874_192484_166771,181200,SMC,2.0,1,3,1,F,Asian / Asian American
127,127,127,apartment,181200_176874_192484_166771,166771,SESU,2.0,1,3,1,M,"White, non-Hispanic"
128,128,128,apartment,181200_176874_192484_166771,166771,SSI,2.0,1,3,1,M,"White, non-Hispanic"
129,129,129,apartment,181200_176874_192484_166771,166771,CRF,2.0,1,3,1,M,"White, non-Hispanic"
130,130,130,apartment,181200_176874_192484_166771,166771,SSI,2.0,1,3,1,M,"White, non-Hispanic"
131,131,131,apartment,181200_176874_192484_166771,166771,SSI,2.0,1,3,1,M,"White, non-Hispanic"
132,132,132,apartment,181200_176874_192484_166771,166771,SSI,2.0,1,3,1,M,"White, non-Hispanic"
133,133,133,apartment,181200_176874_192484_166771,166771,CM,2.0,1,3,1,M,"White, non-Hispanic"
134,134,134,apartment,181200_176874_192484_166771,166771,SSI,2.0,1,3,1,M,"White, non-Hispanic"
135,135,135,apartment,181200_176874_192484_166771,166771,SSI,2.0,1,3,1,M,"White, non-Hispanic"
136,136,136,apartment,181200_176874_192484_166771,166771,SSI,2.0,1,3,1,M,"White, non-Hispanic"
137,137,137,apartment,181200_176874_192484_166771,166771,SSI,2.0,1,3,1,M,"White, non-Hispanic"
138,138,138,apartment,181200_176874_192484_166771,166771,SN,2.0,1,3,1,M,"White, non-Hispanic"
139,139,139,apartment,181200_176874_192484_166771,192484,SSI,2.0,1,3,1,F,Asian / Asian American
140,140,140,apartment,181200_176874_192484_166771,192484,SSI,2.0,1,3,1,F,Asian / Asian American
141,141,141,apartment,181200_176874_192484_166771,192484,SESU,2.0,1,3,1,F,Asian / Asian American
142,142,142,apartment,181200_176874_192484_166771,192484,CE,2.0,1,3,1,F,Asian / Asian American
143,143,143,apartment,181200_176874_192484_166771,192484,CE,2.0,1,3,1,F,Asian / Asian American
144,144,144,apartment,181200_176874_192484_166771,192484,SSI,2.0,1,3,1,F,Asian / Asian American
145,145,145,apartment,181200_176874_192484_166771,192484,SSI,2.0,1,3,1,F,Asian / Asian American
146,146,146,apartment,181200_176874_192484_166771,192484,SSI,2.0,1,3,1,F,Asian / Asian American
147,147,147,apartment,181200_176874_192484_166771,192484,SN,2.0,1,3,1,F,Asian / Asian American
148,148,148,apartment,181207_166151_169077_170115,170115,SMC,1.0,1,4,1,F,Asian / Asian American
149,149,149,apartment,181207_166151_169077_170115,170115,SESU,1.0,1,4,1,F,Asian / Asian American
150,150,150,apartment,181207_166151_169077_170115,170115,SSI,1.0,1,4,1,F,Asian / Asian American
151,151,151,apartment,181207_166151_169077_170115,170115,CM,1.0,1,4,1,F,Asian / Asian American
152,152,152,apartment,181207_166151_169077_170115,170115,SSI,1.0,1,4,1,F,Asian / Asian American
153,153,153,apartment,181207_166151_169077_170115,170115,SESU,1.0,1,4,1,F,Asian / Asian American
154,154,154,apartment,181207_166151_169077_170115,170115,CE,1.0,1,4,1,F,Asian / Asian American
155,155,155,apartment,181207_166151_169077_170115,170115,SSI,1.0,1,4,1,F,Asian / Asian American
156,156,156,apartment,181207_166151_169077_170115,170115,SSI,1.0,1,4,1,F,Asian / Asian American
157,157,157,apartment,181207_166151_169077_170115,170115,SSI,1.0,1,4,1,F,Asian / Asian American
158,158,158,apartment,181207_166151_169077_170115,170115,SSI,1.0,1,4,1,F,Asian / Asian American
